URL,Label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,bad
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,bad
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,bad
mail.printakid.com/www.online.americanexpress.com/index.html,bad
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,bad
smilesvoegol.servebbs.org/voegol.php,bad
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,bad
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,bad
super1000.info/docs,bad
tripadvisor.com/Attraction_Review-g187791-d191110-Reviews-Piazza_del_Popolo-Rome_Lazio.html,good
tripadvisor.com/Attraction_Review-g255069-d1480886-Reviews-Gallo_DairyLand-Cairns_Cairns_District_Queensland.html,good
tripadvisor.com/Attraction_Review-g28949-d126338-Reviews-U_S_Route_50-Nevada.html,good
tripadvisor.com/Attraction_Review-g293732-d2320689-Reviews-Playas_Ain_Diab_y_La_Corniche-Casablanca.html,good
tripadvisor.com/Attraction_Review-g29505-d877918-Reviews-Birthplace_of_Susan_B_Anthony-Adams_Massachusetts.html,good
tripadvisor.com/Attraction_Review-g29750-d269150-Reviews-Showboat_Atlantic_City_Casino-Atlantic_City_New_Jersey.html,good
tripadvisor.com/Attraction_Review-g298225-d1872433-Reviews-Natural_Factory_Day_Tour-Okinawa_Okinawa_Prefecture_Kyushu_Okinawa.html,good
tripadvisor.com/Attraction_Review-g298557-d1810690-Reviews-Nonferrous_Metal_Mineral_Geology_Exhibition_Hall-Xi_an_Shaanxi.html,good
tripadvisor.com/Attraction_Review-g32089-d144626-Reviews-Opal_Hill_Mine-Blythe_California.html,good
